time	count
1304450.999	0.50
1304470.099	1.00
1304504.123	0.50
1304516.057	1.00
1304538.039	0.50
1304551.018	1.00
1304564.826	0.50
1304575.121	0.00
1304586.431	0.50
1304587.656	1.00
1304609.345	0.50
1304619.350	0.00
1304622.305	0.50
1304637.141	1.00
1304643.365	0.50
1304651.780	1.00
1304658.683	0.50
1304666.550	1.00
1304672.388	0.50
1304680.459	1.00
1304688.024	0.50
1304690.689	0.00
1304698.019	0.50
1304706.331	1.00
1304723.689	0.50
1304762.829	1.00
1304772.128	0.50
1304783.673	0.00
1304792.515	0.50
1304816.987	1.00
1304856.819	0.50
1304888.752	0.00
1304897.074	0.50
1304903.629	1.00
1304949.175	0.50
1304964.588	1.00
1305012.316	0.50
1305034.947	1.00
1305056.498	0.50
1305071.433	0.00
1305078.479	0.50
1305086.886	1.00
1305111.303	0.50
1305123.950	1.00
1305127.879	0.50
1305132.242	1.00
1305135.716	0.50
1305140.603	1.00
1305144.069	0.50
1305148.825	1.00
1305152.880	0.50
1305158.699	1.00
1305162.057	0.50
1305168.106	1.00
1305176.877	0.50
1305192.136	0.00
1305199.516	0.50
1305206.007	1.00
1305232.334	0.50
1305234.115	0.00
1305245.411	0.50
1305252.611	1.00
1305308.677	0.50
1305319.714	0.00
1305327.160	0.50
1305339.765	1.00
1305345.502	0.50
1305353.891	1.00
1305360.727	0.50
1305370.367	1.00
1305382.614	0.50
1305404.041	1.00
1305480.738	0.50
1305504.378	1.00
1305514.951	0.50
1305536.821	1.00
1305567.074	0.50
1305594.413	1.00
1305610.959	0.50
1305631.496	1.00
1305686.197	0.50
1305712.259	1.00
1305727.618	0.50
1305742.024	1.00
1305770.369	0.50
1305783.995	1.00
1305807.428	0.50
1305813.329	0.00
1305832.088	0.50
1305888.240	1.00
1305893.515	0.50
1305920.984	1.00
1305922.460	0.50
1305952.530	1.00
1305961.048	0.50
1305972.370	1.00
1305975.704	0.50
1305994.539	1.00
1306000.231	0.50
1306007.662	1.00
1306012.745	0.50
1306018.660	1.00
1306024.251	0.50
1306031.062	1.00
1306036.169	0.50
1306042.053	1.00
1306046.201	0.50
1306051.923	1.00
1306055.204	0.50
1306061.397	1.00
1306068.757	0.50
1306077.209	1.00
1306082.911	0.50
1306089.960	1.00
1306095.305	0.50
1306102.116	1.00
1306106.899	0.50
1306113.792	1.00
1306118.325	0.50
1306125.177	1.00
1306129.472	0.50
1306135.484	1.00
1306139.885	0.50
1306146.163	1.00
1306151.014	0.50
1306157.922	1.00
1306162.843	0.50
1306169.196	1.00
1306173.805	0.50
1306180.863	1.00
1306186.221	0.50
1306192.428	1.00
1306198.940	0.50
1306207.747	1.00
1306213.896	0.50
1306224.076	1.00
1306224.570	0.50
1306244.535	1.00
1306251.719	0.50
1306258.625	1.00
1306262.340	0.50
1306266.639	1.00
1306269.915	0.50
1306274.647	1.00
1306278.288	0.50
1306284.148	1.00
1306288.891	0.50
1306295.085	1.00
1306316.875	0.50
1306337.294	1.00
1306373.980	0.50
1306390.469	1.00
1306410.407	0.50
1306431.241	0.00
1306438.072	0.50
1306444.023	1.00
1306475.533	0.50
1306487.743	1.00
1306501.791	0.50
1306520.623	1.00
1306546.595	0.50
1306556.205	0.00
1306561.231	0.50
1306570.551	1.00
1306596.581	0.50
1306597.755	0.00
1306609.046	0.50
1306616.486	1.00
1306620.257	0.50
1306625.100	1.00
1306628.442	0.50
1306633.053	1.00
1306638.535	0.50
1306643.545	1.00
1306647.468	0.50
1306651.973	1.00
1306655.289	0.50
1306659.951	1.00
1306663.338	0.50
