time	count
1025647.842	1.00
1025647.947	0.50
1025652.082	0.00
1025656.285	0.50
1025662.911	0.00
1025663.084	0.50
1025668.053	1.00
1025672.011	0.50
1025676.517	0.00
1025677.535	0.50
1025681.288	0.00
1025685.439	0.50
1025689.447	0.00
1025693.048	0.50
1025695.077	1.00
1025699.308	0.50
1025703.809	0.00
1025704.517	0.50
1025708.414	0.00
1025714.241	0.50
1025718.680	0.00
1025721.602	0.50
1025724.009	1.00
1025728.305	0.50
1025731.260	0.00
1025733.660	0.50
1025737.322	0.00
1025743.220	0.50
1025746.411	1.00
1025749.866	0.50
1025755.473	1.00
1025757.279	0.50
1025761.694	0.00
1025766.641	0.50
1025770.104	1.00
1025773.447	0.50
1025779.732	1.00
1025781.733	0.50
1025784.983	0.00
1025792.915	0.50
1025793.659	1.00
1025799.588	0.50
1025800.787	0.00
1025805.808	0.50
1025809.659	1.00
1025811.421	0.50
1025816.652	0.00
1025817.749	0.50
1025826.110	0.00
1025827.856	0.50
1025879.400	0.00
1025906.153	0.50
1025912.069	0.00
1027308.633	0.50
1027310.719	1.00
1027329.152	0.50
1027395.869	0.00
1027416.270	0.50
1027421.057	0.00
1028703.178	0.50
1028712.514	0.00
1028717.674	0.50
1028780.475	0.00
1028818.229	0.50
1028823.793	0.00
1042970.205	0.50
1043065.662	0.00
1043079.828	0.50
1043116.150	0.00
1043117.747	0.50
1043158.329	0.00
1043182.818	0.50
1043276.396	0.00
1043292.115	0.50
1043357.314	0.00
1043363.999	0.50
1043380.714	1.00
1043439.363	0.50
1043456.611	0.00
1043462.537	0.50
1043480.043	1.00
1043521.460	0.50
1043527.246	0.00
1043539.388	0.50
1043543.456	1.00
1043569.949	0.50
1043608.194	1.00
1043755.669	0.50
1043775.142	0.00
1043798.301	0.50
1043801.712	1.00
1043819.547	0.50
1043843.446	1.00
1043856.144	0.50
1043873.303	0.00
1043892.005	0.50
1043895.364	1.00
1043927.706	0.50
1043943.742	1.00
1043944.189	0.50
1043966.030	0.00
1043975.777	0.50
1043979.505	1.00
1043984.049	0.50
1043989.105	1.00
1043993.343	0.50
1043997.722	1.00
1044001.005	0.50
1044064.430	0.00
1044073.642	0.50
1044089.069	1.00
1044098.310	0.50
1044226.567	0.00
1044226.872	0.50
1044247.954	1.00
1044259.135	0.50
1044300.172	1.00
1044329.824	0.50
1044354.406	1.00
1044386.707	0.50
1044410.934	1.00
1044445.597	0.50
1044466.872	1.00
1044480.531	0.50
1044499.704	1.00
1044567.279	0.50
1044587.570	0.00
1044589.211	0.50
1044610.308	1.00
1044652.525	0.50
1044661.375	0.00
1044673.215	0.50
1044681.828	1.00
1044694.814	0.50
1044708.340	1.00
1044713.469	0.50
1044720.801	1.00
1044725.565	0.50
1044733.154	1.00
1044739.424	0.50
1044748.470	1.00
1044753.463	0.50
1044761.516	1.00
1044767.193	0.50
1044780.080	1.00
1044784.929	0.50
1044820.621	1.00
1044825.226	0.50
1044846.453	1.00
1044894.401	0.50
1044900.995	0.00
1044914.641	0.50
1044917.922	1.00
1044921.456	0.50
1044926.303	1.00
1044929.620	0.50
